hp_rank,country,hp_value,hp_value_n,hp_change,gdp,social_support,life_exp,generosity,perceived_corruption
32,Qatar,6.374,0.835167715,1.649,1.303,0.748,0.654,0.256,0.171
33,Saudi Arabia,6.371,0.834774633,1.379,1.331,0.633,0.509,0.098,0.127
34,Singapore,6.343,0.83110587,1.529,1.451,1.008,0.631,0.261,0.457
35,Malaysia,6.322,0.828354298,1.161,1.258,0.669,0.356,0.311,0.059
36,Spain,6.31,0.826781971,1.251,1.538,0.965,0.449,0.142,0.074
37,Colombia,6.26,0.820230608,0.96,1.439,0.635,0.531,0.099,0.039
38,Trinidad & Tobago,6.192,0.811320755,1.223,1.492,0.564,0.575,0.171,0.019
39,Slovakia,6.173,0.808831237,1.21,1.537,0.776,0.354,0.118,0.014
40,El Salvador,6.167,0.808045073,0.806,1.231,0.639,0.461,0.065,0.082
41,Nicaragua,6.141,0.804638365,0.668,1.319,0.7,0.527,0.208,0.128
42,Poland,6.123,0.802279874,1.176,1.448,0.781,0.546,0.108,0.064
43,Bahrain,6.105,0.799921384,1.338,1.366,0.698,0.594,0.243,0.123
44,Uzbekistan,6.096,0.798742138,0.719,1.584,0.605,0.724,0.328,0.259
45,Kuwait,6.083,0.797038784,1.474,1.301,0.675,0.554,0.167,0.106
46,Thailand,6.072,0.795597484,1.016,1.417,0.707,0.637,0.364,0.029
47,Italy,6,0.786163522,1.264,1.501,0.946,0.281,0.137,0.028
48,Ecuador,5.973,0.782625786,0.889,1.33,0.736,0.556,0.114,0.12
49,Belize,5.956,0.780398323,0.807,1.101,0.474,0.593,0.183,0.089
50,Lithuania,5.952,0.779874214,1.197,1.527,0.716,0.35,0.026,0.006
51,Slovenia,5.948,0.779350105,1.219,1.506,0.856,0.633,0.16,0.051
52,Romania,5.945,0.778957023,1.116,1.219,0.726,0.528,0.088,0.001
53,Latvia,5.933,0.777384696,1.148,1.454,0.671,0.363,0.092,0.066
54,Japan,5.915,0.775026205,1.294,1.462,0.988,0.553,0.079,0.15
55,Mauritius,5.891,0.771881551,1.09,1.387,0.684,0.584,0.245,0.05
56,Jamaica,5.89,0.771750524,0.819,1.493,0.693,0.575,0.096,0.031
57,South Korea,5.875,0.769785115,1.266,1.204,0.955,0.244,0.175,0.051
58,Northern Cyprus,5.835,0.764544025,1.229,1.211,0.909,0.495,0.179,0.154
59,Russia,5.81,0.761268344,1.151,1.479,0.599,0.399,0.065,0.025
60,Kazakhstan,5.79,0.758647799,1.143,1.516,0.631,0.454,0.148,0.121
61,Cyprus,5.762,0.754979036,1.229,1.191,0.909,0.423,0.202,0.035
62,Bolivia,5.752,0.753668763,0.751,1.223,0.508,0.606,0.141,0.054
63,Estonia,5.739,0.751965409,1.2,1.532,0.737,0.553,0.086,0.174
64,Paraguay,5.681,0.744365828,0.835,1.522,0.615,0.541,0.162,0.074
65,Peru,5.663,0.742007338,0.934,1.249,0.674,0.53,0.092,0.034
66,Kosovo,5.662,0.74187631,0.855,1.23,0.578,0.448,0.274,0.023
